person_age,person_income,person_emp_length,loan_amnt,loan_int_rate,loan_percent_income,previous_default,person_home_ownership_MORTGAGE,person_home_ownership_OTHER,person_home_ownership_OWN,person_home_ownership_RENT,loan_default
0.016129032,0.009172782,1,1,0.595505618,0.59,1,0,0,0,1,1
0.008064516,0.000933956,0.040650407,0.014492754,0.321348315,0.1,0,0,0,1,0,0
0.040322581,0.000933956,0.008130081,0.144927536,0.418539326,0.57,0,1,0,0,0,1
0.024193548,0.010256838,0.032520325,1,0.551123596,0.53,0,0,0,0,1,1
0.032258065,0.008405604,0.06504065,1,0.497191011,0.55,1,0,0,0,1,1
0.008064516,0.000983989,0.016260163,0.057971014,0.096629213,0.25,0,0,0,1,0,1
0.048387097,0.012191461,0.06504065,1,0.393258427,0.45,0,0,0,0,1,1
0.032258065,0.012501001,0.040650407,1,0.319662921,0.44,0,0,0,0,1,1
0.032258065,0.01317545,0.06504065,1,0.195505618,0.42,0,0,0,0,1,1
0.008064516,0.001000667,0.048780488,0.031884058,0.523595506,0.16,0,0,0,1,0,1
0.016129032,0.013509006,0.048780488,1,0.278089888,0.41,0,0,0,0,1,1
0.008064516,0.001000667,0.016260163,0.115942029,0.180337079,0.45,0,0,0,1,0,1
0.024193548,0.015176785,0.016260163,1,0.139325843,0.37,0,0,0,0,1,1
0.048387097,0.017371581,0.032520325,1,0.728651685,0.32,0,0,0,0,1,1
0.024193548,0.018512342,0.016260163,1,0.139325843,0.3,0,0,0,0,1,0
0.024193548,0.082721815,0.056910569,0.855072464,0.293820225,0.06,0,1,0,0,0,0
0.024193548,0.019346231,0,1,0.139325843,0.29,0,0,0,0,1,0
0.024193548,0.014694963,0.056910569,1,0.833146067,0.32,0,0,0,0,1,1
0.024193548,0.018178786,0.06504065,1,0.720786517,0.31,0,0,0,0,1,1
0.032258065,0.001134089,0.06504065,0.036231884,0.312921348,0.16,0,1,0,0,0,1
0.040322581,0.02643429,0.016260163,1,0.116292135,0.22,0,0,0,0,1,0
0.040322581,0.022181454,0.073170732,0.994202899,0.637640449,0.25,1,0,0,0,1,0
0.016129032,0.010173449,0.032520325,0.971014493,0.683146067,0.52,0,0,0,0,1,1
0.032258065,0.001164109,0,0.028985507,0.10505618,0.14,0,0,0,1,0,0
0.016129032,0.012675117,0.024390244,0.969565217,0.512359551,0.42,1,0,0,0,1,1
0.032258065,0.010631421,0.06504065,0.942028986,0.407865169,0.49,0,0,0,0,1,1
0.008064516,0.001167445,0.024390244,0.118115942,0.692134831,0.42,1,1,0,0,0,1
0.024193548,0.001167445,0,0.026086957,0.219101124,0.13,0,0,0,1,0,0
0.032258065,0.010173449,0.048780488,0.927536232,0.256741573,0.5,0,0,0,0,1,1
0.008064516,0.001232322,0.040650407,0.101449275,0.416853933,0.35,1,0,1,0,0,1
0.008064516,0.001254169,0.040650407,0.043478261,0.320224719,0.17,0,0,0,1,0,1
0.040322581,0.019346231,0.016260163,0.913043478,0.06741573,0.27,0,0,0,0,1,0
0.048387097,0.015176785,0.056910569,0.885507246,0.491573034,0.33,1,0,0,0,1,1
0.040322581,0.050366911,0.016260163,0.688405797,0.473595506,0.08,0,0,0,0,1,0
0.048387097,0.049366244,0.081300813,0.211594203,0.453370787,0.03,0,1,0,0,0,0
0.008064516,0.001334223,0.040650407,0.057971014,0.11741573,0.21,0,0,0,1,0,1
0.016129032,0.007338225,0.008130081,0.855072464,0.728651685,0.63,0,0,0,0,1,1
0.032258065,0.010006671,0.06504065,0.855072464,0.512359551,0.47,1,0,0,0,1,1
0.040322581,0.011841227,0.032520325,0.855072464,0.644382022,0.4,1,0,0,0,1,1
0.024193548,0.011257505,0.024390244,0.855072464,,0.42,0,0,0,0,1,1
0.048387097,0.009681454,0.048780488,0.855072464,0.706179775,0.41,0,0,0,0,1,1
0.032258065,0.001334223,0.032520325,0.057971014,0.408426966,0.21,0,0,0,1,0,1
0.048387097,0.049366244,0.081300813,0.565217391,0.138202247,0.07,0,1,0,0,0,0
0.024193548,0.049366244,0.008130081,0.688405797,0.785955056,0.08,1,0,0,1,0,0
0.048387097,0.049366244,0.073170732,0.275362319,0.278651685,0.03,0,0,0,1,0,0
0.048387097,0.049366244,0,0.710144928,0.556741573,0.08,0,1,0,0,0,0
0.040322581,0.049366244,0.073170732,0.507246377,0.619662921,0.06,0,1,0,0,0,0
0.048387097,0.012790193,0.06504065,0.855072464,0.116292135,0.37,0,0,0,0,1,1
0.016129032,0.01039026,0.032520325,0.855072464,0.408426966,0.38,0,0,0,0,1,1
0.048387097,0.014180787,0,0.855072464,0.06741573,0.34,0,0,0,0,1,1
0.032258065,0.012341561,0.032520325,0.855072464,,0.38,1,0,0,0,1,1
0.024193548,0.012341561,0.056910569,0.855072464,0.741573034,0.38,1,0,0,0,1,1
0.024193548,0.014677118,0.048780488,0.855072464,0.551123596,0.33,1,0,0,0,1,1
0.024193548,0.01551034,0.056910569,0.855072464,0.293820225,0.31,0,0,0,0,1,1
0.040322581,0.019346231,0.073170732,0.855072464,0.139325843,0.25,0,0,0,0,1,0
0.048387097,0.046030687,0.032520325,0.275362319,0.592134831,0.04,1,0,0,0,1,0
0.048387097,0.045547698,0,0.565217391,0.340449438,0.07,0,0,0,0,1,0
0.024193548,0.045530354,0.024390244,1,,0.13,0,0,0,1,0,0
0.040322581,0.020680454,0.073170732,0.855072464,0.10505618,0.23,0,0,0,0,1,0
0.032258065,0.001334223,0.016260163,0.036231884,,0.15,1,0,0,1,0,0
0.008064516,0.021180787,0,0.855072464,0.032022472,0.23,0,0,0,0,1,0
0.016129032,0.045196798,0.048780488,0.333333333,0.346067416,0.04,0,0,0,1,0,0
0.048387097,0.043195464,0,0.275362319,,0.04,0,1,0,0,0,1
0.040322581,0.036332555,0.073170732,0.710144928,0.57752809,0.1,0,1,0,0,0,1
0.016129032,0.011007338,0.048780488,0.828985507,0.593820225,0.42,0,0,0,0,1,1
0.016129032,0.001334223,0.056910569,0.028985507,0.529213483,0.13,1,1,0,0,0,0
0.048387097,0.04269513,0.081300813,0.797101449,0.312921348,0.11,0,0,0,1,0,0
0.040322581,0.042528352,0.073170732,0.565217391,0.505617978,0.08,1,1,0,0,0,0
0.032258065,0.041861241,0.073170732,0.263768116,0.088202247,0.04,0,1,0,0,0,0
0.040322581,0.041027352,0.016260163,0.710144928,0.453370787,0.1,0,0,0,0,1,0
0.040322581,0.001334223,0,0.072463768,,0.25,0,0,0,1,0,1
0.016129032,0.008830887,0.048780488,0.797101449,,0.49,0,0,0,0,1,1
0.008064516,0.001334223,0.048780488,0.072463768,0.46011236,0.25,1,0,0,1,0,1
0.024193548,0.010173449,0.016260163,0.797101449,0.139325843,0.43,0,0,0,0,1,1
0.048387097,0.013509006,0.016260163,0.797101449,0.116292135,0.33,0,0,0,0,1,1
0.048387097,0.001334223,0.016260163,0.162318841,0.11741573,0.51,0,0,0,1,0,1
0.016129032,0.01400934,0.048780488,0.797101449,0.252247191,0.32,0,0,0,0,1,1
0.008064516,0.001334223,0,0.107246377,0.452808989,0.35,1,0,0,1,0,1
0.016129032,0.001334223,0.048780488,0.123188406,0.096629213,0.4,0,0,0,1,0,1
0.032258065,0.013176117,0,0.797101449,0.593820225,0.34,1,0,0,0,1,1
0.032258065,0.041027352,0.016260163,0.507246377,0.424719101,0.07,1,0,0,0,1,0
1,0.041027352,0.032520325,0.124637681,0.457865169,0.02,0,0,0,0,1,0
0.040322581,0.016010674,0.040650407,0.797101449,0.408426966,0.28,0,0,0,0,1,0
0.048387097,0.017678452,0.081300813,0.797101449,0.195505618,0.25,0,0,0,0,1,0
0.048387097,0.001334223,0,0.063768116,,0.23,0,0,0,1,0,1
0.016129032,0.017344897,0.048780488,0.797101449,,0.26,0,0,0,0,1,1
0.024193548,0.0245497,0.056910569,0.797101449,0.319662921,0.19,0,0,0,0,1,0
0.032258065,0.01084056,0.016260163,0.785507246,,0.4,0,0,0,0,1,1
0.008064516,0.001334223,0.040650407,0.079710145,0.576404494,0.27,1,1,0,0,0,1
0.016129032,0.011007338,0.032520325,0.782608696,0.429213483,0.39,1,0,0,0,1,1
0.016129032,0.039359573,0.048780488,0.710144928,,0.1,0,0,0,1,0,0
0.048387097,0.011541027,0.040650407,0.769565217,0.573033708,0.37,1,0,0,0,1,1
0.032258065,0.01317545,0.040650407,0.768115942,0.453370787,0.33,1,0,0,0,1,1
0.032258065,0.011574216,0,0.768115942,,0.37,0,0,0,0,1,1
0.024193548,0.009756504,0.056910569,0.739130435,0.353370787,0.42,0,0,0,0,1,1
0.024193548,0.019346231,0.008130081,0.727536232,0.408426966,0.21,0,0,0,0,1,0
0.032258065,0.001394263,0.016260163,0.031884058,0.457865169,0.13,0,0,0,1,0,0
0.016129032,0.00933956,0,0.723913043,0.312921348,0.42,0,0,0,0,1,1
0.040322581,0.038358906,0.024390244,0.565217391,0.497191011,0.09,1,1,0,0,0,0
0.032258065,0.038358906,0.06504065,0.565217391,0.194382022,0.09,0,0,0,1,0,0
0.048387097,0.038358906,0.081300813,0.611594203,0.379775281,0.09,0,1,0,0,0,0
0.040322581,0.036191461,0.048780488,0.330434783,0.505617978,0.05,1,1,0,0,0,1
0.048387097,0.038108739,0,0.710144928,0.491573034,0.11,1,1,0,0,0,0
0.040322581,0.037691795,0.040650407,1,0.481460674,0.15,0,1,0,0,0,0
0.024193548,0.01317545,0.056910569,0.71884058,0.312921348,0.3,0,0,0,0,1,1
0.016129032,0.00143429,,0.043478261,0,0.16,0,1,0,0,0,1
0.040322581,0.00143429,0.024390244,0.036231884,0.46011236,0.14,0,0,0,1,0,0
0.008064516,0.006420947,0.024390244,0.710144928,0.410674157,0.59,1,0,0,0,1,1
0.032258065,0.006170781,0.016260163,0.710144928,,0.61,0,0,0,0,1,1
0.040322581,0.001470314,0,0.072463768,0.418539326,0.23,1,0,0,1,0,1
0.032258065,0.00149433,0.008130081,0.091304348,0.252247191,0.28,0,1,0,0,0,1
0.048387097,0.037024683,0.032520325,0.565217391,0.341011236,0.09,0,1,0,0,0,0
0.040322581,0.036857905,0,0.855072464,0.814044944,0.13,1,1,0,0,0,0
